"","immig","educ","female","white","voted_trump","intend_trump","repub"
"1070",1,3,1,1,0,0,0
"1071",0,1,0,1,1,1,1
"1073",1,0,0,1,1,1,0
"1074",1,2,1,1,0,0,0
"1075",1,1,1,1,1,1,1
"1078",1,1,1,1,0,0,0
"1081",0,0,0,0,0,0,0
"1082",1,2,1,1,1,1,1
"1086",1,1,1,1,0,0,0
"1088",1,2,0,1,1,1,1
"1089",0,2,0,1,1,1,1
"1095",1,3,1,1,0,0,0
"1096",1,1,0,0,0,0,0
"1100",1,1,0,0,0,0,0
"1103",1,1,0,1,1,1,1
"1104",1,2,1,1,1,1,1
"1105",1,1,1,1,1,1,1
"1107",1,1,1,0,0,0,0
"1109",0,1,1,1,1,1,1
"1113",1,2,0,1,0,0,0
"1114",0,0,0,0,1,1,1
"1116",1,3,0,1,1,1,1
"1117",1,2,0,0,0,0,0
"1119",0,2,0,1,0,0,1
"1122",1,2,0,1,0,0,1
"1124",1,2,1,1,1,1,1
"1126",0,1,0,1,0,0,0
"1128",1,2,0,1,0,0,0
"1129",1,1,1,1,1,1,1
"1131",1,1,1,0,0,0,0
"1132",1,1,1,1,0,0,0
"1133",0,1,0,1,1,1,1
"1135",1,2,0,1,1,0,0
"1137",1,1,1,0,0,0,0
"1140",1,1,1,0,0,0,0
"1141",1,1,1,1,1,1,1
"1142",1,1,0,1,0,0,0
"1143",0,1,1,1,1,1,1
"1144",1,1,0,1,1,1,1
"1145",1,2,1,0,0,0,0
"1148",1,3,1,1,0,0,0
"1149",1,0,0,0,0,0,0
"1151",1,1,1,1,0,0,0
"1152",1,2,1,1,0,0,0
"1155",0,1,0,1,1,1,0
"1156",1,1,0,1,1,1,1
"1157",1,1,1,1,1,1,1
"1159",1,1,1,1,0,0,0
"1160",1,3,0,1,0,0,0
"1161",1,0,0,1,0,0,0
"1163",0,3,0,1,1,1,1
"1165",1,1,1,1,0,0,0
"1166",0,1,0,1,1,1,1
"1169",1,1,0,0,0,0,0
"1171",1,3,0,1,0,0,0
"1172",1,1,1,1,1,1,1
"1173",0,1,1,1,1,1,1
"1174",0,1,1,1,1,1,1
"1176",1,1,1,1,1,1,1
"1178",1,3,1,1,0,0,0
"1181",1,3,1,1,0,0,0
